984,985,986,987,988
,,,,
,,,,
48807,48807,48807,48807,48807
48807,48807,48807,48807,48807
48807,48807,48807,48807,48807
48807,48807,48807,48807,48807
48807,48807,48807,48807,48807
48807,48807,48807,48807,48807
51468,51468,51468,51468,51468
51468,51468,51468,51468,51468
51468,51468,51468,51468,51468
51468,51468,51468,51468,51468
51468,51468,51468,51468,51468
51468,51468,51468,51468,51468
48809,48809,48809,48809,48809
48810,48810,48810,48810,48810
48811,48811,48811,48811,48811
48812,48812,48812,48812,48812
48812,48812,48812,48812,48812
48812,48812,48813,48812,48813
48812,48813,48813,48813,48813
48813,48813,48814,48814,48814
48813,48814,48814,48814,48814
48813,48814,51818,51818,51818
48814,48814,51818,51818,51818
48814,51818,48407,48407,48407
48814,51818,48407,48407,51819
51818,48407,51819,51819,51819
51818,48407,51819,51819,51819
48407,51819,51808,51808,51808
48407,51819,51808,51808,51808
51819,51808,51808,51808,51817
51819,51808,51817,51817,51817
51808,51808,51817,51817,49482
51808,51817,49482,49482,49483
51808,51817,49483,49483,49483
51817,49482,49483,49483,50430
51817,49483,50430,50430,30325
49482,49483,30325,30325,35344
49483,50430,35344,35344,48683
49483,30325,48683,48683,48684
50430,35344,48684,48684,48685
30325,48683,48685,48685,48908
35344,48684,48908,48908,48815
48683,48685,48815,48815,48815
48684,48908,48815,48815,48815
48685,48815,48815,49374,49374
48908,48815,49374,49076,49076
48815,48815,49076,49076,49076
48815,48815,50649,50649,50649
48815,49374,50649,48411,48411
48815,49076,48411,48411,48411
49374,49076,48411,48816,48816
49076,50649,48816,48816,48816
49076,48411,48816,48816,48816
50649,48411,51347,51347,51347
48411,48816,51801,51801,51801
48411,48816,51801,51801,51801
48816,51347,48413,48413,48413
48816,51801,48413,48413,48413
48816,51801,48413,48413,48414
48816,51801,48413,48414,51803
48816,48413,48414,51803,51803
51347,48413,51803,51803,48416
51801,48413,48416,48416,48877
51801,48414,48416,48877,48877
48413,51803,48877,48877,48877
48413,48416,48877,48877,48417
48413,48877,48877,48417,48417
48414,48877,48877,52007,52007
51803,48877,48877,52007,48817
48416,48417,48417,48817,48817
48877,48417,48417,48418,48418
48877,52007,52007,48418,48418
48877,48817,48817,48419,48419
48417,48817,48817,48419,51814
48417,48418,48418,51814,51814
52007,48418,,51814,48686
48817,48419,48419,48686,48687
48418,48419,48419,48686,48687
48418,51814,51814,48687,48421
48419,51814,51814,48421,48422
48419,51814,48686,48422,48422
51814,48686,48686,48422,48423
51814,48687,48687,48423,48424
48686,48421,48421,48424,48878
48687,48421,48422,48424,48878
48421,48422,48422,48878,52175
48422,48423,48423,52175,53759
48423,48423,48424,52175,49375
48423,48424,48424,53759,49375
48424,48878,48878,53759,48425
48878,48878,52175,49375,56841
52175,52175,52175,48425,56841
52175,53759,53759,48425,56841
53759,53759,53759,56841,51164
49375,49375,49375,56841,51164
49375,49375,48425,56841,51164
48425,48425,48425,56841,51164
56841,56841,56841,51164,51164
56841,56841,56841,,48818
56841,56841,56841,,48818
56841,56841,56841,,48819
51164,51164,56841,,48819
51164,51164,51164,,48426
51164,,51164,,48427
51164,,,,55935
51164,,,,55935
48818,,,,48429
48818,,,,48429
48819,48818,,,48429
48819,48818,,,48430
48426,48819,48818,48818,48431
48427,48819,48818,48818,48432
55935,48426,48819,48819,48433
55935,48427,48819,48819,48434
48429,55935,48426,48426,48435
48429,55935,48427,48427,48436
48429,48429,55935,55935,48437
48430,48429,,55935,48438
48431,48429,48429,48429,48439
48432,48430,48429,48429,48440
48433,48431,48429,48429,48441
48434,48432,48430,48430,48441
48435,48433,48431,48431,49790
48436,48434,48432,48432,50847
48437,48435,48433,48433,30939
48438,48436,48434,48434,"49484, 26119"
